frame,MAP Vacuum,Engine Speed,Injector Pulse Width Cylinder 5,Injector Pulse Width Cylinder 6,Injector Pulse Width Cylinder 7,Injector Pulse Width Cylinder 8,1/1 O2 Goal(0-1),1/1 O2 Volts(0-1)
146,18.23,681.0,2208.0,2120.0,2232.0,2144.0,0.55,0.51
147,18.11,696.0,2608.0,2720.0,2544.0,2768.0,0.57,0.82
148,16.87,775.0,3144.0,3616.0,3120.0,3472.0,0.61,0.82
149,15.16,917.0,3496.0,3688.0,3576.0,3696.0,0.57,0.1
150,14.93,1049.0,3856.0,3744.0,3864.0,3744.0,0.55,0.04
151,14.81,1104.0,4176.0,4072.0,4200.0,4088.0,0.57,0.04
152,14.69,1145.0,4472.0,4296.0,4344.0,4456.0,0.61,0.75
153,14.69,1189.0,4040.0,4272.0,3920.0,4056.0,0.61,0.82
154,16.22,1182.0,2952.0,2904.0,2824.0,2888.0,0.57,0.84
155,17.46,1099.0,2688.0,2712.0,2656.0,2752.0,0.55,0.78
156,17.23,1063.0,2752.0,2760.0,2752.0,2888.0,0.55,0.35
157,16.87,1065.0,3064.0,2840.0,3016.0,2896.0,0.55,0.06
158,17.58,1078.0,2712.0,2632.0,2704.0,2608.0,0.55,0.71
159,18.7,1045.0,2144.0,2168.0,1992.0,2144.0,0.61,0.82
160,19.82,986.0,1696.0,1840.0,1672.0,1744.0,0.59,0.84
161,20.41,962.0,1488.0,1528.0,1456.0,1528.0,0.57,0.84
162,20.65,954.0,1368.0,1408.0,1336.0,1384.0,0.57,0.78
163,20.83,947.0,1312.0,1352.0,1280.0,1352.0,0.55,0.8
164,21.06,948.0,1176.0,1216.0,1152.0,1216.0,0.53,0.78
165,21.24,935.0,1128.0,1208.0,1144.0,1208.0,0.53,0.78
166,21.24,925.0,1136.0,1304.0,1136.0,1304.0,0.53,0.49
167,21.18,911.0,1160.0,1384.0,1248.0,1496.0,0.55,0.1
168,20.24,918.0,1576.0,1728.0,1608.0,1912.0,0.57,0.04
169,19.53,992.0,1944.0,1880.0,1888.0,1840.0,0.61,0.04
170,20.3,1024.0,1600.0,1512.0,1536.0,1448.0,0.61,0.69
171,20.89,940.0,1416.0,1352.0,1392.0,1280.0,0.67,0.82
172,21.18,883.0,1184.0,1208.0,1192.0,1176.0,0.65,0.84
173,21.3,819.0,1160.0,1176.0,1160.0,1288.0,0.63,0.8
174,21.12,767.0,1232.0,1392.0,1256.0,1400.0,0.59,0.61
175,20.89,769.0,1320.0,1448.0,1328.0,1480.0,0.57,0.14
176,20.71,775.0,1352.0,1544.0,1384.0,1520.0,0.57,0.24
177,20.65,769.0,1528.0,1552.0,1640.0,1600.0,0.57,0.75
178,20.41,791.0,1672.0,1624.0,1776.0,1704.0,0.59,0.84
179,19.76,872.0,1896.0,1864.0,1928.0,1880.0,0.61,0.86
180,19.47,951.0,1896.0,1912.0,1912.0,1944.0,0.57,0.84
181,19.53,1028.0,1880.0,1896.0,1840.0,1904.0,0.57,0.78
182,19.65,1089.0,1840.0,1880.0,1848.0,1872.0,0.57,0.63
