frame,Mis-Fire Monitor Status,Mis-Fire Counter-200 REV,Mis-Fire Counter CAT 200 Rev,Cylinder 1 FTP Mis-Fire Counter,Cylinder 2 FTP Mis-Fire Counter,Cylinder 3 FTP Mis-Fire Counter,Cylinder 4 FTP Mis-Fire Counter,Cylinder 5 FTP Mis-Fire Counter,Cylinder 6 FTP Mis-Fire Counter,Cylinder 7 FTP Mis-Fire Counter,Cylinder 8 FTP Mis-Fire Counter
89,,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
