frame,TPS 1 Volts,TPS 2 Volts,Engine Speed,Purge AirFlow,Injector Pulse Width Cylinder 1,Injector Pulse Width Cylinder 2,1/1 O2 Goal(0-1),1/1 O2 Volts(0-1)
201,1.3,3.69,1849.0,0.0,5872.0,6192.0,0.61,0.25
202,1.44,3.54,1867.0,0.0,7568.0,7256.0,0.61,0.06
203,1.51,3.49,1935.0,0.0,8168.0,8064.0,0.63,0.78
204,1.27,3.79,1931.0,0.0,5576.0,5296.0,0.63,0.82
205,1.17,3.81,1791.0,0.0,4672.0,4984.0,0.59,0.73
206,1.24,3.76,1851.0,0.0,5376.0,4888.0,0.57,0.59
207,1.19,3.8,1827.0,0.0,4752.0,5016.0,0.57,0.41
208,1.37,3.63,1874.0,0.0,6784.0,6896.0,0.63,0.22
209,1.08,3.93,1789.0,0.0,4872.0,4304.0,0.63,0.86
210,1.07,3.91,1707.0,0.0,4000.0,4000.0,0.61,0.8
211,1.22,3.78,1738.0,0.0,5264.0,5440.0,0.61,0.18
212,1.33,3.65,1766.0,0.0,6568.0,6744.0,0.63,0.08
213,1.42,3.58,1496.0,0.0,8632.0,8696.0,0.63,0.8
214,1.38,3.64,1076.0,0.0,8768.0,8152.0,0.59,0.8
215,1.33,3.65,1062.0,0.0,8304.0,8312.0,0.59,0.24
216,1.34,3.65,1052.0,0.0,8648.0,8928.0,0.59,0.06
217,1.41,3.57,1211.0,0.0,9488.0,8984.0,0.61,0.16
218,1.55,3.45,1419.0,0.0,9848.0,9040.0,0.67,0.84
219,1.54,3.46,1549.0,0.0,8920.0,9304.0,0.63,0.78
220,1.53,3.47,1543.0,0.0,8768.0,8400.0,0.63,0.76
221,1.53,3.47,1581.0,0.0,8552.0,8760.0,0.63,0.25
222,1.54,3.46,1764.0,0.0,8864.0,8256.0,0.63,0.78
223,1.55,3.45,1804.0,0.0,8240.0,8744.0,0.61,0.55
224,1.56,3.43,1812.0,0.0,8424.0,8872.0,0.61,0.76
225,1.59,3.41,1822.0,0.0,8984.0,8416.0,0.61,0.75
226,1.59,3.41,1822.0,0.0,8472.0,8840.0,0.59,0.29
227,1.58,3.41,1827.0,0.0,8576.0,8960.0,0.59,0.71
228,1.6,3.4,1824.0,0.0,8920.0,8464.0,0.61,0.14
229,1.6,3.4,1823.0,0.0,8592.0,8928.0,0.61,0.73
230,1.61,3.39,1829.0,0.0,9112.0,8536.0,0.61,0.76
231,1.61,3.39,1844.0,0.0,8952.0,8496.0,0.61,0.67
232,1.63,3.36,1850.0,0.0,8720.0,9184.0,0.61,0.45
233,1.69,3.3,1861.0,0.0,9256.0,8776.0,0.61,0.78
234,1.72,3.27,1858.0,0.0,8872.0,8880.0,0.61,0.22
235,1.73,3.27,1831.0,0.0,9600.0,9456.0,0.61,0.78
236,1.73,3.27,1838.0,0.0,8880.0,8888.0,0.61,0.43
237,1.73,3.27,1812.0,0.0,8960.0,9568.0,0.61,0.75
238,1.73,3.26,1840.0,0.0,9392.0,8888.0,0.61,0.76
239,1.75,3.25,1843.0,0.0,9440.0,8968.0,0.61,0.78
240,1.55,3.48,1844.0,0.0,7760.0,8216.0,0.59,0.75
241,1.45,3.55,1813.0,0.0,8056.0,7616.0,0.59,0.76
242,1.4,3.64,1804.0,0.0,6752.0,6848.0,0.59,0.78
243,1.13,3.87,1683.0,0.0,4504.0,4464.0,0.53,0.8
244,1.15,3.85,1564.0,0.0,4536.0,4560.0,0.53,0.78
245,1.22,3.76,1545.0,0.0,5016.0,5552.0,0.53,0.06
246,1.27,3.72,1611.0,0.0,6336.0,6512.0,0.61,0.06
247,1.38,3.62,1666.0,0.0,7736.0,7176.0,0.63,0.65
248,1.41,3.59,1645.0,0.0,7672.0,7776.0,0.67,0.55
249,1.33,3.68,1572.0,0.0,7048.0,6720.0,0.67,0.8
250,1.3,3.7,1507.0,0.0,6960.0,7016.0,0.65,0.63
251,1.26,3.75,1481.0,0.0,6864.0,6256.0,0.61,0.78
252,1.11,3.93,1439.0,0.0,4888.0,4808.0,0.55,0.86
253,0.93,4.07,1205.0,0.0,3232.0,3200.0,0.53,0.84
254,0.95,4.05,1228.0,0.0,3024.0,3368.0,0.51,0.78
255,0.96,4.03,1304.0,0.0,2880.0,3312.0,0.47,0.63
256,0.98,4.01,1277.0,0.0,3040.0,3176.0,0.47,0.08
257,1.13,3.86,1249.0,0.0,4576.0,5008.0,0.49,0.08
258,1.18,3.82,1368.0,0.0,5680.0,5992.0,0.53,0.12
259,1.02,4.02,1213.0,0.0,4504.0,4352.0,0.53,0.8
260,0.91,4.07,1232.0,0.0,3320.0,3344.0,0.53,0.8
261,0.98,4.0,1240.0,0.0,3240.0,3584.0,0.53,0.33
262,1.0,4.0,1236.0,0.0,3408.0,3784.0,0.53,0.06
263,1.01,3.98,1234.0,0.0,3744.0,3832.0,0.53,0.67
264,1.11,3.89,1245.0,0.0,4600.0,4968.0,0.53,0.75
265,0.83,4.19,1235.0,0.0,2904.0,2952.0,0.53,0.84
266,0.92,4.07,1241.0,0.0,2496.0,3304.0,0.53,0.2
267,1.17,3.83,1259.0,0.0,4800.0,4984.0,0.53,0.06
268,1.04,3.99,1395.0,0.0,4480.0,4232.0,0.53,0.73
269,0.89,4.09,1224.0,0.0,3080.0,3344.0,0.55,0.78
270,1.08,3.91,1254.0,0.0,4296.0,4240.0,0.55,0.08
271,0.97,4.07,1260.0,0.0,3688.0,3696.0,0.53,0.76
272,0.85,4.13,1263.0,0.0,2600.0,3288.0,0.53,0.71
273,1.14,3.87,1272.0,0.0,4456.0,4424.0,0.53,0.1
274,0.81,4.2,1250.0,0.0,2640.0,2736.0,0.53,0.84
275,0.77,4.23,1254.0,0.0,2328.0,2472.0,0.53,0.84
276,1.08,3.9,1260.0,0.0,3936.0,4560.0,0.53,0.75
277,1.09,3.97,1415.0,0.0,4112.0,4232.0,0.53,0.67
278,0.9,4.09,1208.0,0.0,2816.0,2896.0,0.51,0.73
279,1.21,3.73,1249.0,0.0,5808.0,6088.0,0.51,0.04
280,1.05,4.0,1400.0,0.0,4856.0,5296.0,0.53,0.84
281,1.07,3.92,1234.0,0.0,4704.0,5560.0,0.53,0.49
282,1.25,3.77,1247.0,0.0,6688.0,6664.0,0.59,0.04
283,1.03,3.97,1253.0,0.0,5376.0,5480.0,0.53,0.8
284,1.18,3.8,1273.0,0.0,5960.0,6272.0,0.61,0.06
285,1.32,3.68,1278.0,0.0,8304.0,7832.0,0.61,0.04
286,1.3,3.7,1283.0,0.0,8688.0,8256.0,0.67,0.75
287,1.3,3.69,1284.0,0.0,8552.0,7936.0,0.67,0.82
288,1.39,3.6,1298.0,0.0,8656.0,9144.0,0.65,0.2
289,1.29,3.84,1299.0,0.0,6984.0,6232.0,0.61,0.88
290,0.98,4.0,1288.0,0.0,4904.0,5280.0,0.55,0.84
291,1.25,3.75,1308.0,0.0,6344.0,6712.0,0.59,0.65
292,1.26,3.74,1312.0,0.0,7512.0,7584.0,0.59,0.08
293,1.28,3.7,1313.0,0.0,8176.0,7664.0,0.59,0.75
294,1.32,3.68,1322.0,0.0,7824.0,7808.0,0.59,0.8
295,0.99,4.02,1314.0,0.0,5088.0,4952.0,0.51,0.84
296,1.08,3.9,1316.0,0.0,4712.0,4888.0,0.49,0.33
297,1.06,3.95,1313.0,0.0,4688.0,4944.0,0.51,0.08
298,1.15,3.75,1327.0,0.0,6520.0,6368.0,0.57,0.16
299,1.1,3.96,1319.0,0.0,5176.0,5232.0,0.53,0.75
300,0.94,4.05,1321.0,0.0,4224.0,3912.0,0.53,0.86
301,1.05,3.95,1323.0,0.0,3952.0,4304.0,0.49,0.67
302,0.93,4.1,1318.0,0.0,3384.0,3480.0,0.49,0.67
303,0.93,4.07,1318.0,0.0,3024.0,3488.0,0.51,0.8
304,1.13,3.87,1332.0,0.0,4184.0,4928.0,0.49,0.75
305,1.08,3.92,1327.0,0.0,4832.0,4896.0,0.51,0.08
306,1.15,3.81,1327.0,0.0,5920.0,5968.0,0.53,0.06
307,1.21,3.84,1333.0,0.0,6568.0,6192.0,0.59,0.39
308,0.97,4.03,1321.0,0.0,4608.0,4432.0,0.57,0.82
309,1.09,3.86,1332.0,0.0,5088.0,5440.0,0.57,0.76
310,1.37,3.62,1341.0,0.0,8312.0,8856.0,0.61,0.04
311,1.42,3.58,1361.0,0.0,9248.0,8736.0,0.67,0.61
312,1.03,4.01,1347.0,0.0,6104.0,5688.0,0.67,0.88
313,0.98,3.98,1346.0,0.0,5064.0,5056.0,0.59,0.8
314,1.32,3.67,1359.0,0.0,7232.0,7944.0,0.61,0.06
315,1.28,3.73,1371.0,0.0,8136.0,7584.0,0.61,0.71
316,1.26,3.74,1361.0,0.0,7376.0,7304.0,0.61,0.82
317,1.26,3.74,1372.0,0.0,7080.0,7176.0,0.61,0.82
318,1.16,3.84,1377.0,0.0,6088.0,6328.0,0.59,0.73
319,1.43,3.57,1379.0,0.0,8712.0,8760.0,0.61,0.06
320,1.44,3.58,1389.0,0.0,9200.0,8640.0,0.63,0.8
321,1.25,3.76,1393.0,0.0,7328.0,7240.0,0.63,0.86
